small vehicle,large vehicle,minibus,hatchback,sedan,bus,minivan,truck,van,jeep,cement mixer,dedicated agricultural vehicle,tanker,crane truck,pickup,light truck,prime mover,red,black,blue,silver/grey,white,other,yellow,green,sunroof,luggage_carrier,open_cargo_area,enclosed_cab,spare_wheel,wrecked,flatbed,ladder,enclosed_box,soft_shell_box,harnessed_to_a_cart,ac_vents
13319,32746,13241,12040,13319,29279,13161,38480,13661,14067,26106,22465,22465,26240,22259,12722,26240,32984,21627,23304,13319,34520,32632,11536,30818,29279,29279,29279,29279,29279,29279,29279,29279,29279,29279,29279,29279
14167,29813,31262,36472,11111,10738,29113,21075,27106,33549,23721,20334,20334,19499,36119,32424,34469,37252,13148,26233,11111,31364,35496,11274,31931,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738,10738
11111,30150,22912,14313,10335,13241,13323,12959,25038,11601,20138,16738,16738,34469,21608,28546,29947,20671,22554,20719,35637,27651,17057,17041,13410,13241,13241,13241,13241,13241,13241,13241,13241,13241,13241,13241,13241
10335,14272,26197,39653,35637,14272,10184,10510,26475,17195,26052,14715,38348,21001,37833,33036,13662,24464,39716,20493,22574,10991,29797,23162,26871,14272,14272,14272,14272,14272,14272,14272,14272,14272,14272,14272,14272
35980,28454,19575,16008,31734,32746,19049,11596,15636,27426,31765,16837,35515,34306,29396,26745,37920,37192,25391,20080,39164,30149,36104,30179,11322,32746,32746,32746,32746,32746,32746,32746,32746,32746,32746,32746,32746
35637,33822,15218,12987,39164,32515,17196,34261,32870,16001,18717,23030,31534,13662,21989,11392,27257,33420,29994,35839,13346,22666,17726,17618,27543,32515,32515,32515,32515,32515,32515,32515,32515,32515,32515,32515,32515
35563,35424,14859,23673,13346,19789,18626,26263,26972,18043,35015,32337,36013,10772,18099,38874,31124,38916,39189,28265,13114,12791,32021,36923,36864,19789,19789,19789,19789,19789,19789,19789,19789,19789,19789,19789,19789
22574,11019,23738,24235,13114,21065,25299,12162,29677,19850,38165,36013,14715,10627,35869,14812,15440,27257,12153,20936,14164,15200,18420,16145,26097,21065,21065,21065,21065,21065,21065,21065,21065,21065,21065,21065,21065
31734,15034,14272,13632,14164,22912,37380,28849,30264,17393,24948,38819,16837,15440,17465,11857,22883,34654,26894,22400,22214,38694,27899,17540,33584,22912,22912,22912,22912,22912,22912,22912,22912,22912,22912,22912,22912
39164,26591,26740,20274,22214,26197,22949,28616,14115,32918,22423,37043,20967,37938,16880,27741,38389,37478,14597,21925,24491,39597,10980,37686,20659,26197,26197,26197,26197,26197,26197,26197,26197,26197,26197,26197,26197
13346,13772,12727,18276,24491,13772,33889,12229,31120,22561,34640,38348,38819,21327,38431,39778,11731,29947,18566,10726,24234,21728,11072,14819,17882,13772,13772,13772,13772,13772,13772,13772,13772,13772,13772,13772,13772
